#f/kHz C1/pF  R1/Ohm L1/µH C2/pF  R2/Ohm L2/µH
2      1006.3 0.970  3.25  674.75 1.8611 6.25
4      1006.1 0.6969 3.25  674.62 1.8736 6.18
6      1006.1 0.6936 3.25  674.60 1.8810 6.09
8      1006.1 0.6924 3.25  674.55 1.8978 5.98
10     1006.1 1.6023 3.25  674.56 1.9025 5.87
12     1006.1 1.5601 3.25  674.56 1.9213 5.74
14     1006.1 1.5154 3.24  674.57 1.9406 5.62
16     1006.1 1.4780 3.24  674.57 1.9562 5.51
18     1006.1 1.4718 3.24  674.57 1.9720 5.39
20     1006.1 1.4682 3.24  674.56 1.9902 5.30
100    1007.1 1.533  3.18  674.30 2.172  4.34
